data$speed,2019COE_DW100_100kW_27.6,2019COE_DW20_20kW_12.4,BergeyExcel10_8.9kW_7,BergeyExcel15_15.6kW_9.6,Bestwind30_27.2kW_13.1,CF10A_10kW_11.15,CF11A_11kW_11.15,CF11_11kW_9.36,CF15_15kW_11.15,CF20_20kW_13.1,EWT_DW52_900kW_51.5,EWT_DW54X_1MW_54.1,EWT_DW54_900kW_54,EWT_DW58_1MW_58,EWT_DW61_1MW_60.9,EntegrityEW50_50kW_15,FortisMontana_3.31kW_5.04,GhrepowerFD21-50_61.2kW_21.5,Jacobs31-20_12kW_9.45,Kestrele400nb_2.5kW_4,NPS100B-21_100kW_20.7,NPS100B-24C_95kW_24.4,NPS100B-24_95kW_23.6,NPS100C-21_100kW_20.7,NPS100C-24_95kW_24.4,NPS100C-27_90kW_27.4,NPS100C-28_90kW_27.6,NPS100C-28_90kW_28,NPS60C-24_60kW_24.4,PikaT701_1.5kW_3,SD6_5.2kW_5.5,SWIFT_1kW_2.1,Skystream3.7_2.1kW_3.7,VestasV27_225kW_27,VestasV29_225kW_29,2016CACost_NREL_Reference_10MW_205,2016CACost_NREL_Reference_6MW_155,2016CACost_NREL_Reference_8MW_180,2019ORCost_NREL_Reference_12MW_222,2019ORCost_NREL_Reference_15MW_248,2020ATB_NREL_Reference_12MW_214,2020ATB_NREL_Reference_15MW_240,2020ATB_NREL_Reference_18MW_263,DTU_Reference_v1_10MW_178,IEA_Reference_10MW_198,IEA_Reference_15MW_240,LEANWIND_Reference_8MW_164,NREL_Reference_5MW_126,WTK_Validation_offshore_normalized,2017COE_Market_Average_2.3MW_113,2018COE_Market_Average_2.4MW_116,2019COE_Market_Average_2.6MW_121,2020ATB_NREL_Reference_4MW_150,2020ATB_NREL_Reference_5.5MW_175,2020ATB_NREL_Reference_7MW_200,2023NREL_Bespoke_3.3MW_148,2023NREL_Bespoke_3MW_127.5,2023NREL_Bespoke_6MW_170,2023NREL_Bespoke_6MW_196,2023NREL_Bespoke_8.3MW_196,BAR_BAU-LBNL-IEA_3.3MW_156,BAR_BAU_LowSP_3.25MW_166,BAR_BAUa_5.0MW_167.4,BAR_HighSP_5.0MW_134.9,BAR_LowSP_4.5MW_194,BAR_LowSP_6.5MW_234,DOE_GE_1.5MW_77,IEA_Reference_3.4MW_130,IEC_Class1_Normalized_Industry_Composite,IEC_Class2_Normalized_Industry_Composite,IEC_Class3_Normalized_Industry_Composite,VestasV47_660kW_47,VestasV82_1.65MW_82,WTK_Validation_IEC-1_normalized,WTK_Validation_IEC-2_normalized,WTK_Validation_IEC-3_normalized
36.28,1.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,0.0,0.0,0.0,0.0,0.0,3.2e-05,2.5e-05,1.7e-05,3.2e-05,2.5e-05,0.0,0.0,0.0,2.2e-05,0.0,0.0,3e-06,0.0,0.0,0.0,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.4e-05,3.4e-05,3.2e-05,3.2e-05,3.2e-05,0.0,2.2e-05,2.2e-05,2.2e-05,2.2e-05,2.2e-05,2.2e-05,3.2e-05,3.2e-05,3.2e-05,0.0,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,0.0,3.2e-05,3.2e-05,1.9e-05,1.7e-05,0.0,0.0,3.2e-05,3.2e-05,0.0
36.29,1.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,0.0,0.0,0.0,0.0,0.0,3.1e-05,2.5e-05,1.7e-05,3.1e-05,2.5e-05,0.0,0.0,0.0,2.2e-05,0.0,0.0,3e-06,0.0,0.0,0.0,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.4e-05,3.4e-05,3.1e-05,3.2e-05,3.2e-05,0.0,2.2e-05,2.2e-05,2.1e-05,2.2e-05,2.2e-05,2.2e-05,3.2e-05,3.2e-05,3.2e-05,0.0,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,0.0,3.1e-05,3.2e-05,1.9e-05,1.6e-05,0.0,0.0,3.2e-05,3.2e-05,0.0
36.3,1.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,0.0,0.0,0.0,0.0,0.0,3.1e-05,2.4e-05,1.6e-05,3.1e-05,2.4e-05,0.0,0.0,0.0,2.1e-05,0.0,0.0,3e-06,0.0,0.0,0.0,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.3e-05,3.3e-05,3.1e-05,3.1e-05,3.1e-05,0.0,2.2e-05,2.2e-05,2.1e-05,2.1e-05,2.1e-05,2.1e-05,3.1e-05,3.1e-05,3.1e-05,0.0,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,0.0,3.1e-05,3.1e-05,1.9e-05,1.6e-05,0.0,0.0,3.1e-05,3.1e-05,0.0
36.31,1.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,0.0,0.0,0.0,0.0,0.0,3.1e-05,2.4e-05,1.6e-05,3.1e-05,2.4e-05,0.0,0.0,0.0,2.1e-05,0.0,0.0,2e-06,0.0,0.0,0.0,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.3e-05,3.3e-05,3.1e-05,3.1e-05,3.1e-05,0.0,2.1e-05,2.1e-05,2.1e-05,2.1e-05,2.1e-05,2.1e-05,3.1e-05,3.1e-05,3.1e-05,0.0,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,0.0,3.1e-05,3.1e-05,1.9e-05,1.6e-05,0.0,0.0,3.1e-05,3.1e-05,0.0
36.32,1.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,0.0,0.0,0.0,0.0,0.0,3e-05,2.4e-05,1.6e-05,3e-05,2.4e-05,0.0,0.0,0.0,2.1e-05,0.0,0.0,2e-06,0.0,0.0,0.0,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.3e-05,3.3e-05,3e-05,3.1e-05,3.1e-05,0.0,2.1e-05,2.1e-05,2e-05,2.1e-05,2.1e-05,2.1e-05,3.1e-05,3.1e-05,3.1e-05,0.0,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,0.0,3e-05,3.1e-05,1.8e-05,1.6e-05,0.0,0.0,3.1e-05,3.1e-05,0.0
36.33,1.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,3e-05,3e-05,3e-05,3e-05,0.0,0.0,0.0,0.0,0.0,3e-05,2.3e-05,1.6e-05,3e-05,2.3e-05,0.0,0.0,0.0,2.1e-05,0.0,0.0,2e-06,0.0,0.0,0.0,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3.2e-05,3.2e-05,3e-05,3e-05,3e-05,0.0,2.1e-05,2.1e-05,2e-05,2.1e-05,2.1e-05,2.1e-05,3e-05,3e-05,3e-05,0.0,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,0.0,3e-05,3e-05,1.8e-05,1.6e-05,0.0,0.0,3e-05,3e-05,0.0
36.34,1.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,3e-05,3e-05,3e-05,3e-05,0.0,0.0,0.0,0.0,0.0,2.9e-05,2.3e-05,1.6e-05,2.9e-05,2.3e-05,0.0,0.0,0.0,2e-05,0.0,0.0,2e-06,0.0,0.0,0.0,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3.2e-05,3.2e-05,2.9e-05,3e-05,3e-05,0.0,2.1e-05,2.1e-05,2e-05,2e-05,2e-05,2e-05,3e-05,3e-05,3e-05,0.0,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,0.0,3e-05,3e-05,1.8e-05,1.5e-05,0.0,0.0,3e-05,3e-05,0.0
36.35,1.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,3e-05,3e-05,3e-05,3e-05,0.0,0.0,0.0,0.0,0.0,2.9e-05,2.3e-05,1.5e-05,2.9e-05,2.3e-05,0.0,0.0,0.0,2e-05,0.0,0.0,2e-06,0.0,0.0,0.0,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3.1e-05,3.1e-05,2.9e-05,3e-05,3e-05,0.0,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,3e-05,3e-05,3e-05,0.0,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,0.0,2.9e-05,3e-05,1.8e-05,1.5e-05,0.0,0.0,3e-05,3e-05,0.0
36.36,1.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05,0.0,0.0,0.0,0.0,0.0,2.9e-05,2.3e-05,1.5e-05,2.9e-05,2.3e-05,0.0,0.0,0.0,2e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05,3.1e-05,3.1e-05,2.9e-05,2.9e-05,2.9e-05,0.0,2e-05,2e-05,1.9e-05,2e-05,2e-05,2e-05,2.9e-05,2.9e-05,2.9e-05,0.0,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05,0.0,2.9e-05,2.9e-05,1.8e-05,1.5e-05,0.0,0.0,2.9e-05,2.9e-05,0.0
36.37,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05,0.0,0.0,0.0,0.0,0.0,2.8e-05,2.2e-05,1.5e-05,2.8e-05,2.2e-05,0.0,0.0,0.0,2e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05,3.1e-05,3.1e-05,2.8e-05,2.9e-05,2.9e-05,0.0,2e-05,2e-05,1.9e-05,2e-05,2e-05,2e-05,2.9e-05,2.9e-05,2.9e-05,0.0,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05,0.0,2.9e-05,2.9e-05,1.7e-05,1.5e-05,0.0,0.0,2.9e-05,2.9e-05,0.0
36.38,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,0.0,0.0,0.0,0.0,0.0,2.8e-05,2.2e-05,1.5e-05,2.8e-05,2.2e-05,0.0,0.0,0.0,1.9e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,3e-05,3e-05,2.8e-05,2.8e-05,2.8e-05,0.0,2e-05,2e-05,1.9e-05,1.9e-05,1.9e-05,1.9e-05,2.8e-05,2.8e-05,2.8e-05,0.0,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,0.0,2.8e-05,2.8e-05,1.7e-05,1.5e-05,0.0,0.0,2.8e-05,2.8e-05,0.0
36.39,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,0.0,0.0,0.0,0.0,0.0,2.8e-05,2.2e-05,1.5e-05,2.8e-05,2.2e-05,0.0,0.0,0.0,1.9e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,3e-05,3e-05,2.8e-05,2.8e-05,2.8e-05,0.0,1.9e-05,1.9e-05,1.9e-05,1.9e-05,1.9e-05,1.9e-05,2.8e-05,2.8e-05,2.8e-05,0.0,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,0.0,2.8e-05,2.8e-05,1.7e-05,1.4e-05,0.0,0.0,2.8e-05,2.8e-05,0.0
36.4,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,0.0,0.0,0.0,0.0,0.0,2.7e-05,2.1e-05,1.4e-05,2.7e-05,2.1e-05,0.0,0.0,0.0,1.9e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,3e-05,3e-05,2.7e-05,2.8e-05,2.8e-05,0.0,1.9e-05,1.9e-05,1.9e-05,1.9e-05,1.9e-05,1.9e-05,2.8e-05,2.8e-05,2.8e-05,0.0,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,0.0,2.8e-05,2.8e-05,1.7e-05,1.4e-05,0.0,0.0,2.8e-05,2.8e-05,0.0
36.41,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,0.0,0.0,0.0,0.0,0.0,2.7e-05,2.1e-05,1.4e-05,2.7e-05,2.1e-05,0.0,0.0,0.0,1.9e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.9e-05,2.9e-05,2.7e-05,2.7e-05,2.7e-05,0.0,1.9e-05,1.9e-05,1.8e-05,1.9e-05,1.9e-05,1.9e-05,2.7e-05,2.7e-05,2.7e-05,0.0,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,0.0,2.7e-05,2.7e-05,1.6e-05,1.4e-05,0.0,0.0,2.7e-05,2.7e-05,0.0
36.42,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,0.0,0.0,0.0,0.0,0.0,2.7e-05,2.1e-05,1.4e-05,2.7e-05,2.1e-05,0.0,0.0,0.0,1.8e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.9e-05,2.9e-05,2.7e-05,2.7e-05,2.7e-05,0.0,1.9e-05,1.9e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,2.7e-05,2.7e-05,2.7e-05,0.0,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,0.0,2.7e-05,2.7e-05,1.6e-05,1.4e-05,0.0,0.0,2.7e-05,2.7e-05,0.0
36.43,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,0.0,0.0,0.0,0.0,0.0,2.6e-05,2.1e-05,1.4e-05,2.6e-05,2.1e-05,0.0,0.0,0.0,1.8e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.8e-05,2.8e-05,2.6e-05,2.7e-05,2.7e-05,0.0,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,2.7e-05,2.7e-05,2.7e-05,0.0,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,0.0,2.7e-05,2.7e-05,1.6e-05,1.4e-05,0.0,0.0,2.7e-05,2.7e-05,0.0
36.44,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,0.0,0.0,0.0,0.0,0.0,2.6e-05,2e-05,1.4e-05,2.6e-05,2e-05,0.0,0.0,0.0,1.8e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.8e-05,2.8e-05,2.6e-05,2.6e-05,2.6e-05,0.0,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,2.6e-05,2.6e-05,2.6e-05,0.0,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,0.0,2.6e-05,2.6e-05,1.6e-05,1.4e-05,0.0,0.0,2.6e-05,2.6e-05,0.0
36.45,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,0.0,0.0,0.0,0.0,0.0,2.6e-05,2e-05,1.4e-05,2.6e-05,2e-05,0.0,0.0,0.0,1.8e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.8e-05,2.8e-05,2.6e-05,2.6e-05,2.6e-05,0.0,1.8e-05,1.8e-05,1.7e-05,1.8e-05,1.8e-05,1.8e-05,2.6e-05,2.6e-05,2.6e-05,0.0,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,0.0,2.6e-05,2.6e-05,1.6e-05,1.3e-05,0.0,0.0,2.6e-05,2.6e-05,0.0
36.46,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,0.0,0.0,0.0,0.0,0.0,2.5e-05,2e-05,1.3e-05,2.5e-05,2e-05,0.0,0.0,0.0,1.8e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.7e-05,2.7e-05,2.5e-05,2.6e-05,2.6e-05,0.0,1.8e-05,1.8e-05,1.7e-05,1.8e-05,1.8e-05,1.8e-05,2.6e-05,2.6e-05,2.6e-05,0.0,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,2.6e-05,0.0,2.6e-05,2.6e-05,1.5e-05,1.3e-05,0.0,0.0,2.6e-05,2.6e-05,0.0
36.47,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,0.0,0.0,0.0,0.0,0.0,2.5e-05,2e-05,1.3e-05,2.5e-05,2e-05,0.0,0.0,0.0,1.7e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.7e-05,2.7e-05,2.5e-05,2.5e-05,2.5e-05,0.0,1.7e-05,1.8e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,2.5e-05,2.5e-05,2.5e-05,0.0,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,0.0,2.5e-05,2.5e-05,1.5e-05,1.3e-05,0.0,0.0,2.5e-05,2.5e-05,0.0
36.48,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,0.0,0.0,0.0,0.0,0.0,2.5e-05,1.9e-05,1.3e-05,2.5e-05,1.9e-05,0.0,0.0,0.0,1.7e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.7e-05,2.7e-05,2.5e-05,2.5e-05,2.5e-05,0.0,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,2.5e-05,2.5e-05,2.5e-05,0.0,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,0.0,2.5e-05,2.5e-05,1.5e-05,1.3e-05,0.0,0.0,2.5e-05,2.5e-05,0.0
36.49,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,0.0,0.0,0.0,0.0,0.0,2.4e-05,1.9e-05,1.3e-05,2.4e-05,1.9e-05,0.0,0.0,0.0,1.7e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.6e-05,2.6e-05,2.4e-05,2.5e-05,2.5e-05,0.0,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,2.5e-05,2.5e-05,2.5e-05,0.0,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,0.0,2.5e-05,2.5e-05,1.5e-05,1.3e-05,0.0,0.0,2.5e-05,2.5e-05,0.0
36.5,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,0.0,0.0,0.0,0.0,0.0,2.4e-05,1.9e-05,1.3e-05,2.4e-05,1.9e-05,0.0,0.0,0.0,1.7e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.6e-05,2.6e-05,2.4e-05,2.5e-05,2.5e-05,0.0,1.7e-05,1.7e-05,1.6e-05,1.7e-05,1.7e-05,1.7e-05,2.5e-05,2.5e-05,2.5e-05,0.0,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,0.0,2.4e-05,2.5e-05,1.5e-05,1.3e-05,0.0,0.0,2.5e-05,2.5e-05,0.0
36.51,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,0.0,0.0,0.0,0.0,0.0,2.4e-05,1.9e-05,1.3e-05,2.4e-05,1.9e-05,0.0,0.0,0.0,1.6e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.6e-05,2.6e-05,2.4e-05,2.4e-05,2.4e-05,0.0,1.7e-05,1.7e-05,1.6e-05,1.6e-05,1.6e-05,1.6e-05,2.4e-05,2.4e-05,2.4e-05,0.0,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,0.0,2.4e-05,2.4e-05,1.5e-05,1.2e-05,0.0,0.0,2.4e-05,2.4e-05,0.0
36.52,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,0.0,0.0,0.0,0.0,0.0,2.4e-05,1.8e-05,1.2e-05,2.4e-05,1.8e-05,0.0,0.0,0.0,1.6e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.5e-05,2.5e-05,2.4e-05,2.4e-05,2.4e-05,0.0,1.6e-05,1.6e-05,1.6e-05,1.6e-05,1.6e-05,1.6e-05,2.4e-05,2.4e-05,2.4e-05,0.0,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,0.0,2.4e-05,2.4e-05,1.4e-05,1.2e-05,0.0,0.0,2.4e-05,2.4e-05,0.0
36.53,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,0.0,0.0,0.0,0.0,0.0,2.3e-05,1.8e-05,1.2e-05,2.3e-05,1.8e-05,0.0,0.0,0.0,1.6e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.5e-05,2.5e-05,2.3e-05,2.4e-05,2.4e-05,0.0,1.6e-05,1.6e-05,1.6e-05,1.6e-05,1.6e-05,1.6e-05,2.4e-05,2.4e-05,2.4e-05,0.0,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,0.0,2.3e-05,2.4e-05,1.4e-05,1.2e-05,0.0,0.0,2.4e-05,2.4e-05,0.0
36.54,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,0.0,0.0,0.0,0.0,0.0,2.3e-05,1.8e-05,1.2e-05,2.3e-05,1.8e-05,0.0,0.0,0.0,1.6e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.5e-05,2.5e-05,2.3e-05,2.3e-05,2.3e-05,0.0,1.6e-05,1.6e-05,1.6e-05,1.6e-05,1.6e-05,1.6e-05,2.3e-05,2.3e-05,2.3e-05,0.0,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,0.0,2.3e-05,2.3e-05,1.4e-05,1.2e-05,0.0,0.0,2.3e-05,2.3e-05,0.0
36.55,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,0.0,0.0,0.0,0.0,0.0,2.3e-05,1.8e-05,1.2e-05,2.3e-05,1.8e-05,0.0,0.0,0.0,1.6e-05,0.0,0.0,2e-06,0.0,0.0,0.0,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.5e-05,2.5e-05,2.3e-05,2.3e-05,2.3e-05,0.0,1.6e-05,1.6e-05,1.5e-05,1.6e-05,1.6e-05,1.6e-05,2.3e-05,2.3e-05,2.3e-05,0.0,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,0.0,2.3e-05,2.3e-05,1.4e-05,1.2e-05,0.0,0.0,2.3e-05,2.3e-05,0.0
